"title","rating","rating_description"
"Academy Dinosaur","PG","Parental Guidance Suggested"
"Ace Goldfinger","G","General Audiences"
"Adaptation Holes","NC-17","Adults Only"
"Affair Prejudice","G","General Audiences"
"African Egg","G","General Audiences"
"Agent Truman","PG","Parental Guidance Suggested"
"Airplane Sierra","PG-13","Parents Strongly Cautioned"
"Airport Pollock","R","Restricted"
"Alabama Devil","PG-13","Parents Strongly Cautioned"
"Aladdin Calendar","NC-17","Adults Only"
"Alamo Videotape","G","General Audiences"
"Alaska Phantom","PG","Parental Guidance Suggested"
"Ali Forever","PG","Parental Guidance Suggested"
"Alice Fantasia","NC-17","Adults Only"
"Alien Center","NC-17","Adults Only"
"Alley Evolution","NC-17","Adults Only"
"Alone Trip","R","Restricted"
"Alter Victory","PG-13","Parents Strongly Cautioned"
"Amadeus Holy","PG","Parental Guidance Suggested"
"Amelie Hellfighters","R","Restricted"
"American Circus","R","Restricted"
"Amistad Midsummer","G","General Audiences"
"Anaconda Confessions","R","Restricted"
"Analyze Hoosiers","R","Restricted"
"Angels Life","G","General Audiences"
"Annie Identity","G","General Audiences"
"Anonymous Human","NC-17","Adults Only"
"Anthem Luke","PG-13","Parents Strongly Cautioned"
"Antitrust Tomatoes","NC-17","Adults Only"
"Anything Savannah","R","Restricted"
"Apache Divine","NC-17","Adults Only"
"Apocalypse Flamingos","R","Restricted"
"Apollo Teen","PG-13","Parents Strongly Cautioned"
"Arabia Dogma","NC-17","Adults Only"
"Arachnophobia Rollercoaster","PG-13","Parents Strongly Cautioned"
"Argonauts Town","PG-13","Parents Strongly Cautioned"
"Arizona Bang","PG","Parental Guidance Suggested"
"Ark Ridgemont","NC-17","Adults Only"
"Armageddon Lost","G","General Audiences"
"Army Flintstones","R","Restricted"
"Arsenic Independence","PG","Parental Guidance Suggested"
"Artist Coldblooded","NC-17","Adults Only"
"Atlantis Cause","G","General Audiences"
"Attacks Hate","PG-13","Parents Strongly Cautioned"
"Attraction Newton","PG-13","Parents Strongly Cautioned"
"Autumn Crow","G","General Audiences"
"Baby Hall","NC-17","Adults Only"
"Backlash Undefeated","PG-13","Parents Strongly Cautioned"
"Badman Dawn","R","Restricted"
"Baked Cleopatra","G","General Audiences"
"Balloon Homeward","NC-17","Adults Only"
"Ballroom Mockingbird","G","General Audiences"
"Bang Kwai","NC-17","Adults Only"
"Banger Pinocchio","R","Restricted"
"Barbarella Streetcar","G","General Audiences"
"Barefoot Manchurian","G","General Audiences"
"Basic Easy","PG-13","Parents Strongly Cautioned"
"Beach Heartbreakers","G","General Audiences"
"Bear Graceland","R","Restricted"
"Beast Hunchback","R","Restricted"
"Beauty Grease","G","General Audiences"
"Bed Highball","NC-17","Adults Only"
"Bedazzled Married","PG","Parental Guidance Suggested"
"Beethoven Exorcist","PG-13","Parents Strongly Cautioned"
"Behavior Runaway","PG","Parental Guidance Suggested"
"Beneath Rush","NC-17","Adults Only"
"Berets Agent","PG-13","Parents Strongly Cautioned"
"Betrayed Rear","NC-17","Adults Only"
"Beverly Outlaw","R","Restricted"
"Bikini Borrowers","NC-17","Adults Only"
"Bilko Anonymous","PG-13","Parents Strongly Cautioned"
"Bill Others","PG","Parental Guidance Suggested"
"Bingo Talented","PG-13","Parents Strongly Cautioned"
"Birch Antitrust","PG","Parental Guidance Suggested"
"Bird Independence","G","General Audiences"
"Birdcage Casper","NC-17","Adults Only"
